Timestamp,Player Count,Product ID,Total Amount,Average Price Per Unit,Mayor
1731918991518,8841,BOOSTER_COOKIE,2021.00,12033400.00,Scorpius
1731918991518,8841,ENCHANTMENT_SMITE_7,85.00,7367623.73,Scorpius
1731923602218,9354,ESSENCE_DRAGON,250872.00,2671.48,Scorpius
1731923602218,9354,GIANT_FRAGMENT_LASER,2055.00,660406.47,Scorpius
1731923602218,9354,CONDENSED_FERMENTO,1091.00,2201341.38,Scorpius
1731923602218,9354,ENCHANTED_ROTTEN_FLESH,342578.00,968.82,Scorpius
1731923602218,9354,TITANIUM_ORE,2024562.00,42.54,Scorpius
1731923602218,9354,PURPLE_CANDY,109365.00,19939.51,Scorpius
1731923602218,9354,ENCHANTED_GOLD_BLOCK,32381.00,75533.49,Scorpius
1731923602218,9354,LAVA_WATER_ORB,67.00,2489703.56,Scorpius
1731923602218,9354,GLOSSY_GEMSTONE,1123.00,6262852.09,Scorpius
1731923602218,9354,FLAWLESS_JASPER_GEM,194.00,5918890.76,Scorpius
1731923602218,9354,KISMET_FEATHER,3925.00,1245778.55,Scorpius
1731923602218,9354,REVENANT_FLESH,1899232.00,64.39,Scorpius
1731923602218,9354,FLAWLESS_SAPPHIRE_GEM,617.00,2380532.19,Scorpius
1731923602218,9354,ENCHANTMENT_TURBO_WHEAT_1,974.00,50.29,Scorpius
1731923602218,9354,GREEN_GIFT,493602.00,7280.77,Scorpius
1731923602218,9354,MAGMA_FISH_SILVER,94815.00,31108.58,Scorpius
1731923602218,9354,GRIFFIN_FEATHER,42215.00,55596.09,Scorpius
1731923602218,9354,SOULFLOW,39524.00,37318.26,Scorpius
1731923602218,9354,RECOMBOBULATOR_3000,701.00,8169930.01,Scorpius
1731923602218,9354,STOCK_OF_STONKS,3448.00,3104049.31,Scorpius
1731923602218,9354,JERRY_BOX_PURPLE,16334.00,498092.93,Scorpius
1731923602218,9354,WHEAT,2994188.00,2.54,Scorpius
1731923602218,9354,BOOSTER_COOKIE,1093.00,12111186.16,Scorpius
1731923602218,9354,ENCHANTMENT_SMITE_7,82.00,7397398.40,Scorpius
1731944519160,14887,ESSENCE_DRAGON,506955.00,2948.83,Scorpius
1731944519160,14887,GIANT_FRAGMENT_LASER,2866.00,661532.91,Scorpius
1731944519160,14887,CONDENSED_FERMENTO,1050.00,2200197.00,Scorpius
1731944519160,14887,ENCHANTED_ROTTEN_FLESH,459564.00,952.55,Scorpius
1731944519160,14887,TITANIUM_ORE,3466865.00,55.02,Scorpius
1731944519160,14887,PURPLE_CANDY,127231.00,20121.00,Scorpius
1731944519160,14887,ENCHANTED_GOLD_BLOCK,34872.00,75538.09,Scorpius
